model_id,language,weat_category_id,prompt_idx,layer_idx,entity1,entity2,attribute,attention_entity1,attention_entity2,prob_entity1,prob_entity2,bias_ratio,comments
DebK/pythia-70m-finetuned-alpaca-hindi,en,WEAT1,4,1,aster,ant,peace,0.009279702790081501,0.01016753539443016,2.0213757068177074e-07,0.0003281185345258564,0.0006160504494934038,ATLAS_finetuned_en_WEAT1_prompt4_layer1
DebK/pythia-70m-finetuned-alpaca-hindi,en,WEAT1,4,2,aster,ant,peace,0.0075554195791482925,0.00887965690344572,2.0213757068177074e-07,0.0003281185345258564,0.0006160504494934038,ATLAS_finetuned_en_WEAT1_prompt4_layer2
DebK/pythia-70m-finetuned-alpaca-hindi,en,WEAT1,4,3,aster,ant,peace,0.012119817547500134,0.00476476876065135,2.0213757068177074e-07,0.0003281185345258564,0.0006160504494934038,ATLAS_finetuned_en_WEAT1_prompt4_layer3
DebK/pythia-70m-finetuned-alpaca-hindi,en,WEAT1,4,4,aster,ant,peace,0.008959111757576466,0.0003812973736785352,2.0213757068177074e-07,0.0003281185345258564,0.0006160504494934038,ATLAS_finetuned_en_WEAT1_prompt4_layer4
DebK/pythia-70m-finetuned-alpaca-hindi,en,WEAT1,4,5,aster,ant,peace,1.0731016431009266e-07,3.8907893573636443e-10,2.0213757068177074e-07,0.0003281185345258564,0.0006160504494934038,ATLAS_finetuned_en_WEAT1_prompt4_layer5
DebK/pythia-70m-finetuned-alpaca-hindi,en,WEAT1,5,0,aster,ant,cheer,0.006088083144277334,0.008037432096898556,2.0213757068177074e-07,0.0003281185345258564,0.0006160504494934038,ATLAS_finetuned_en_WEAT1_prompt5_layer0
DebK/pythia-70m-finetuned-alpaca-hindi,en,WEAT1,5,1,aster,ant,cheer,0.00997157208621502,0.010067109018564224,2.0213757068177074e-07,0.0003281185345258564,0.0006160504494934038,ATLAS_finetuned_en_WEAT1_prompt5_layer1
DebK/pythia-70m-finetuned-alpaca-hindi,en,WEAT1,5,2,aster,ant,cheer,0.007712279912084341,0.007535945624113083,2.0213757068177074e-07,0.0003281185345258564,0.0006160504494934038,ATLAS_finetuned_en_WEAT1_prompt5_layer2
DebK/pythia-70m-finetuned-alpaca-hindi,en,WEAT1,5,3,aster,ant,cheer,0.013276641257107258,0.0046840691938996315,2.0213757068177074e-07,0.0003281185345258564,0.0006160504494934038,ATLAS_finetuned_en_WEAT1_prompt5_layer3
DebK/pythia-70m-finetuned-alpaca-hindi,en,WEAT1,5,4,aster,ant,cheer,0.0025960367638617754,0.00012561648327391595,2.0213757068177074e-07,0.0003281185345258564,0.0006160504494934038,ATLAS_finetuned_en_WEAT1_prompt5_layer4
DebK/pythia-70m-finetuned-alpaca-hindi,en,WEAT1,5,5,aster,ant,cheer,2.261864828767557e-08,2.7495042700942385e-11,2.0213757068177074e-07,0.0003281185345258564,0.0006160504494934038,ATLAS_finetuned_en_WEAT1_prompt5_layer5
DebK/pythia-70m-finetuned-alpaca-hindi,en,WEAT1,6,0,aster,ant,friend,0.005615399684756994,0.010406126268208027,2.0213757068177074e-07,0.0003281185345258564,0.0006160504494934038,ATLAS_finetuned_en_WEAT1_prompt6_layer0
DebK/pythia-70m-finetuned-alpaca-hindi,en,WEAT1,6,1,aster,ant,friend,0.009422672912478447,0.010210085660219193,2.0213757068177074e-07,0.0003281185345258564,0.0006160504494934038,ATLAS_finetuned_en_WEAT1_prompt6_layer1
DebK/pythia-70m-finetuned-alpaca-hindi,en,WEAT1,6,2,aster,ant,friend,0.008173855021595955,0.008585760369896889,2.0213757068177074e-07,0.0003281185345258564,0.0006160504494934038,ATLAS_finetuned_en_WEAT1_prompt6_layer2
DebK/pythia-70m-finetuned-alpaca-hindi,en,WEAT1,6,3,aster,ant,friend,0.01212594285607338,0.004767769947648048,2.0213757068177074e-07,0.0003281185345258564,0.0006160504494934038,ATLAS_finetuned_en_WEAT1_prompt6_layer3
DebK/pythia-70m-finetuned-alpaca-hindi,en,WEAT1,6,4,aster,ant,friend,0.0007054477464407682,0.0002844248083420098,2.0213757068177074e-07,0.0003281185345258564,0.0006160504494934038,ATLAS_finetuned_en_WEAT1_prompt6_layer4
DebK/pythia-70m-finetuned-alpaca-hindi,en,WEAT1,6,5,aster,ant,friend,7.091633597156033e-05,4.557643325242555e-12,2.0213757068177074e-07,0.0003281185345258564,0.0006160504494934038,ATLAS_finetuned_en_WEAT1_prompt6_layer5
DebK/pythia-70m-finetuned-alpaca-hindi,en,WEAT1,7,0,aster,ant,heaven,0.006045794580131769,0.008104286156594753,2.0213757068177074e-07,0.0003281185345258564,0.0006160504494934038,ATLAS_finetuned_en_WEAT1_prompt7_layer0
DebK/pythia-70m-finetuned-alpaca-hindi,en,WEAT1,7,1,aster,ant,heaven,0.009337887167930603,0.009024657309055328,2.0213757068177074e-07,0.0003281185345258564,0.0006160504494934038,ATLAS_finetuned_en_WEAT1_prompt7_layer1
DebK/pythia-70m-finetuned-alpaca-hindi,en,WEAT1,7,2,aster,ant,heaven,0.006883149966597557,0.007391704246401787,2.0213757068177074e-07,0.0003281185345258564,0.0006160504494934038,ATLAS_finetuned_en_WEAT1_prompt7_layer2
