model_id,model_type,language,weat_category,layer_index,layer_name,attribution_score,baseline_bias_l2,localization_ratio,is_significant_layer
DebK/MobileLLM-125M-finetuned-alpaca-hindi,finetuned,en,WEAT1,0,layer_0,0.01645621514944679,0.001424885354936123,0.0,False
DebK/MobileLLM-125M-finetuned-alpaca-hindi,finetuned,en,WEAT1,1,layer_1,0.019409941808673923,0.001424885354936123,0.0,False
DebK/MobileLLM-125M-finetuned-alpaca-hindi,finetuned,en,WEAT1,2,layer_2,0.025152671002004197,0.001424885354936123,0.0,False
DebK/MobileLLM-125M-finetuned-alpaca-hindi,finetuned,en,WEAT1,3,layer_3,0.0234892323878114,0.001424885354936123,0.0,False
DebK/MobileLLM-125M-finetuned-alpaca-hindi,finetuned,en,WEAT1,4,layer_4,0.15315003965702767,0.001424885354936123,0.0,False
DebK/MobileLLM-125M-finetuned-alpaca-hindi,finetuned,en,WEAT1,5,layer_5,0.15232611342078603,0.001424885354936123,0.0,False
DebK/MobileLLM-125M-finetuned-alpaca-hindi,finetuned,en,WEAT1,6,layer_6,0.14891060911209256,0.001424885354936123,0.0,False
DebK/MobileLLM-125M-finetuned-alpaca-hindi,finetuned,en,WEAT1,7,layer_7,0.1461992316759142,0.001424885354936123,0.0,False
DebK/MobileLLM-125M-finetuned-alpaca-hindi,finetuned,en,WEAT1,8,layer_8,0.1433008205392241,0.001424885354936123,0.0,False
DebK/MobileLLM-125M-finetuned-alpaca-hindi,finetuned,en,WEAT1,9,layer_9,0.14893261307685857,0.001424885354936123,0.0,False
DebK/MobileLLM-125M-finetuned-alpaca-hindi,finetuned,en,WEAT1,10,layer_10,0.15302535052335314,0.001424885354936123,0.0,False
DebK/MobileLLM-125M-finetuned-alpaca-hindi,finetuned,en,WEAT1,11,layer_11,0.151223470297507,0.001424885354936123,0.0,False
DebK/MobileLLM-125M-finetuned-alpaca-hindi,finetuned,en,WEAT1,12,layer_12,0.1498861182167229,0.001424885354936123,0.0,False
DebK/MobileLLM-125M-finetuned-alpaca-hindi,finetuned,en,WEAT1,13,layer_13,0.15173445125707533,0.001424885354936123,0.0,False
DebK/MobileLLM-125M-finetuned-alpaca-hindi,finetuned,en,WEAT1,14,layer_14,0.15052178830996576,0.001424885354936123,0.0,False
DebK/MobileLLM-125M-finetuned-alpaca-hindi,finetuned,en,WEAT1,15,layer_15,0.1496562990291659,0.001424885354936123,0.0,False
DebK/MobileLLM-125M-finetuned-alpaca-hindi,finetuned,en,WEAT1,16,layer_16,0.1523041094560199,0.001424885354936123,0.0,False
DebK/MobileLLM-125M-finetuned-alpaca-hindi,finetuned,en,WEAT1,17,layer_17,0.15159753769853065,0.001424885354936123,0.0,False
DebK/MobileLLM-125M-finetuned-alpaca-hindi,finetuned,en,WEAT1,18,layer_18,0.154316249789631,0.001424885354936123,0.0,False
DebK/MobileLLM-125M-finetuned-alpaca-hindi,finetuned,en,WEAT1,19,layer_19,0.15884906653144754,0.001424885354936123,0.0,True
DebK/MobileLLM-125M-finetuned-alpaca-hindi,finetuned,en,WEAT1,20,layer_20,0.16138196736452298,0.001424885354936123,0.0,True
DebK/MobileLLM-125M-finetuned-alpaca-hindi,finetuned,en,WEAT1,21,layer_21,0.15931359467650966,0.001424885354936123,0.0,True
DebK/MobileLLM-125M-finetuned-alpaca-hindi,finetuned,en,WEAT1,22,layer_22,0.16845501959433698,0.001424885354936123,0.0,True
DebK/MobileLLM-125M-finetuned-alpaca-hindi,finetuned,en,WEAT1,23,layer_23,0.16870928763163417,0.001424885354936123,0.0,True
DebK/MobileLLM-125M-finetuned-alpaca-hindi,finetuned,en,WEAT1,24,layer_24,0.17329589184287894,0.001424885354936123,0.0,True
DebK/MobileLLM-125M-finetuned-alpaca-hindi,finetuned,en,WEAT1,25,layer_25,0.1787186467152356,0.001424885354936123,0.0,True
DebK/MobileLLM-125M-finetuned-alpaca-hindi,finetuned,en,WEAT1,26,layer_26,0.17387043981177153,0.001424885354936123,0.0,True
DebK/MobileLLM-125M-finetuned-alpaca-hindi,finetuned,en,WEAT1,27,layer_27,0.16965790300155048,0.001424885354936123,0.0,True
DebK/MobileLLM-125M-finetuned-alpaca-hindi,finetuned,en,WEAT1,28,layer_28,0.2010477811828786,0.001424885354936123,0.0,True
DebK/MobileLLM-125M-finetuned-alpaca-hindi,finetuned,en,WEAT1,29,layer_29,0.07705054995595902,0.001424885354936123,0.0,False
DebK/MobileLLM-125M-finetuned-alpaca-hindi,finetuned,en,WEAT2,0,layer_0,0.012887268066406256,0.0,0.0,False
DebK/MobileLLM-125M-finetuned-alpaca-hindi,finetuned,en,WEAT2,1,layer_1,0.012980041503906248,0.0,0.0,False
DebK/MobileLLM-125M-finetuned-alpaca-hindi,finetuned,en,WEAT2,2,layer_2,0.015250854492187505,0.0,0.0,False
DebK/MobileLLM-125M-finetuned-alpaca-hindi,finetuned,en,WEAT2,3,layer_3,0.014781494140625007,0.0,0.0,False
DebK/MobileLLM-125M-finetuned-alpaca-hindi,finetuned,en,WEAT2,4,layer_4,0.11232299804687501,0.0,0.0,False
DebK/MobileLLM-125M-finetuned-alpaca-hindi,finetuned,en,WEAT2,5,layer_5,0.11427368164062504,0.0,0.0,False
DebK/MobileLLM-125M-finetuned-alpaca-hindi,finetuned,en,WEAT2,6,layer_6,0.11368896484375002,0.0,0.0,False
DebK/MobileLLM-125M-finetuned-alpaca-hindi,finetuned,en,WEAT2,7,layer_7,0.11695556640625,0.0,0.0,False
DebK/MobileLLM-125M-finetuned-alpaca-hindi,finetuned,en,WEAT2,8,layer_8,0.11687255859374995,0.0,0.0,False
DebK/MobileLLM-125M-finetuned-alpaca-hindi,finetuned,en,WEAT2,9,layer_9,0.11772949218750002,0.0,0.0,False
DebK/MobileLLM-125M-finetuned-alpaca-hindi,finetuned,en,WEAT2,10,layer_10,0.11732421874999996,0.0,0.0,False
DebK/MobileLLM-125M-finetuned-alpaca-hindi,finetuned,en,WEAT2,11,layer_11,0.11588867187499999,0.0,0.0,False
DebK/MobileLLM-125M-finetuned-alpaca-hindi,finetuned,en,WEAT2,12,layer_12,0.11798828125,0.0,0.0,False
DebK/MobileLLM-125M-finetuned-alpaca-hindi,finetuned,en,WEAT2,13,layer_13,0.11600830078125002,0.0,0.0,False
DebK/MobileLLM-125M-finetuned-alpaca-hindi,finetuned,en,WEAT2,14,layer_14,0.11397949218749995,0.0,0.0,False
DebK/MobileLLM-125M-finetuned-alpaca-hindi,finetuned,en,WEAT2,15,layer_15,0.11599853515624999,0.0,0.0,False
DebK/MobileLLM-125M-finetuned-alpaca-hindi,finetuned,en,WEAT2,16,layer_16,0.11773437500000006,0.0,0.0,False
DebK/MobileLLM-125M-finetuned-alpaca-hindi,finetuned,en,WEAT2,17,layer_17,0.11120117187499998,0.0,0.0,False
DebK/MobileLLM-125M-finetuned-alpaca-hindi,finetuned,en,WEAT2,18,layer_18,0.12315673828125,0.0,0.0,True
DebK/MobileLLM-125M-finetuned-alpaca-hindi,finetuned,en,WEAT2,19,layer_19,0.12299316406249998,0.0,0.0,True
DebK/MobileLLM-125M-finetuned-alpaca-hindi,finetuned,en,WEAT2,20,layer_20,0.11801513671875005,0.0,0.0,True
DebK/MobileLLM-125M-finetuned-alpaca-hindi,finetuned,en,WEAT2,21,layer_21,0.11329101562500005,0.0,0.0,False
DebK/MobileLLM-125M-finetuned-alpaca-hindi,finetuned,en,WEAT2,22,layer_22,0.12306640624999998,0.0,0.0,True
DebK/MobileLLM-125M-finetuned-alpaca-hindi,finetuned,en,WEAT2,23,layer_23,0.12537597656250005,0.0,0.0,True
DebK/MobileLLM-125M-finetuned-alpaca-hindi,finetuned,en,WEAT2,24,layer_24,0.12740478515625,0.0,0.0,True
DebK/MobileLLM-125M-finetuned-alpaca-hindi,finetuned,en,WEAT2,25,layer_25,0.13681396484375005,0.0,0.0,True
DebK/MobileLLM-125M-finetuned-alpaca-hindi,finetuned,en,WEAT2,26,layer_26,0.13637451171875004,0.0,0.0,True
DebK/MobileLLM-125M-finetuned-alpaca-hindi,finetuned,en,WEAT2,27,layer_27,0.13592285156250006,0.0,0.0,True
DebK/MobileLLM-125M-finetuned-alpaca-hindi,finetuned,en,WEAT2,28,layer_28,0.15994140624999992,0.0,0.0,True
